name,link,affiliations,email,cited_by
Rakhmat Dedi Gunawan,https://scholar.google.com/citations?hl=en&user=s29ExogAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,246.0
Galuh Pramita,https://scholar.google.com/citations?hl=en&user=uHYjzTwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,243.0
Yanggi Mertania,https://scholar.google.com/citations?hl=en&user=0jJu9NkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,243.0
Yeni Anggraini,https://scholar.google.com/citations?hl=en&user=h9C9nhQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,236.0
Almira Devita Putri,https://scholar.google.com/citations?hl=en&user=LWjut7gAAAAJ,"Lecturer of Management Study, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,232.0
MEGA LESTARI,https://scholar.google.com/citations?hl=en&user=P9Uw20gAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,230.0
Dian Apriyanti,https://scholar.google.com/citations?hl=en&user=d--yRr4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,226.0
ANDI SAPUTRA,https://scholar.google.com/citations?hl=en&user=TW6uq5MAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,219.0
Fedi Ameraldo (Scopus ID: 57298921700),https://scholar.google.com/citations?hl=en&user=FhUHk9IAAAAJ,"Lecturer and Researcher, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,217.0
Laila Ulsi Qodriani,https://scholar.google.com/citations?hl=en&user=0zSuAt0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,214.0
EMILIANA PUTRI,https://scholar.google.com/citations?hl=en&user=Mvgyno0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,214.0
Dwi Bayu Karnadi,https://scholar.google.com/citations?hl=en&user=GOfxYcUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,213.0
Suhenda Wijaya,https://scholar.google.com/citations?hl=en&user=LFwh2EQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,197.0
Aralia Heaverly,https://scholar.google.com/citations?hl=en&user=20NrZMsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,196.0
"Reza Pustika, M.Pd.",https://scholar.google.com/citations?hl=en&user=C36MrikAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,191.0
Sigit Doni Ramdan,https://scholar.google.com/citations?hl=en&user=0BtNaEgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,188.0
Putri Oktarin,https://scholar.google.com/citations?hl=en&user=TayHgBIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,186.0
Galuh Hesti Wulandari,https://scholar.google.com/citations?hl=en&user=Rbf5uHsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,185.0
Bezaliel Septian Sulastio,https://scholar.google.com/citations?hl=en&user=bkMIUXYAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,183.0
M Ramdhani Yanuarsyah,https://scholar.google.com/citations?hl=en&user=1SJNtqAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,178.0
Cinthia Annisa Vinahapsari,https://scholar.google.com/citations?hl=en&user=qphLTmUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,172.0
asep haikal kurniawan,https://scholar.google.com/citations?hl=en&user=wZ5gM2oAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,171.0
Andri Supriadi,https://scholar.google.com/citations?hl=en&user=SJ-gUUgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,171.0
